compound_id,target_id,target_family,pKd,molecular_weight,assay_confidence,assay_type,data_source
CMPD_10628,TRG_2028,Kinase,9.218,324.186,0.878,Binding Assay,ChEMBL
CMPD_10728,TRG_2028,Kinase,7.701,357.073,0.694,SPR,BindingDB
CMPD_10029,TRG_2029,Kinase,7.74,278.431,0.832,Functional Assay,InHouse
CMPD_10329,TRG_2029,Kinase,7.505,503.123,0.495,SPR,BindingDB
CMPD_10729,TRG_2029,Kinase,6.618,468.202,0.966,Functional Assay,BindingDB
CMPD_10830,TRG_2030,Kinase,10.082,326.655,0.905,Binding Assay,InHouse
CMPD_10131,TRG_2031,Kinase,7.722,367.532,0.871,Binding Assay,ChEMBL
CMPD_10032,TRG_2032,Kinase,7.191,465.758,0.555,Functional Assay,Literature
CMPD_10333,TRG_2033,Kinase,6.8,389.655,0.75,SPR,Literature
CMPD_10934,TRG_2034,Kinase,9.335,307.174,0.917,Binding Assay,ChEMBL
CMPD_10334,TRG_2034,Kinase,6.744,362.034,0.082,Functional Assay,ChEMBL
CMPD_10434,TRG_2034,Kinase,6.722,326.404,0.675,Functional Assay,BindingDB
CMPD_10335,TRG_2035,Kinase,7.149,379.197,0.219,Functional Assay,BindingDB
CMPD_10436,TRG_2036,Kinase,7.69,296.121,0.717,Binding Assay,ChEMBL
CMPD_10936,TRG_2036,Kinase,7.092,376.558,0.505,Functional Assay,BindingDB
CMPD_10637,TRG_2037,Kinase,9.407,371.487,0.654,Binding Assay,BindingDB
CMPD_10537,TRG_2037,Kinase,8.65,325.582,0.719,Binding Assay,Literature
CMPD_10237,TRG_2037,Kinase,6.795,311.289,0.5,Functional Assay,ChEMBL
CMPD_10239,TRG_2039,Kinase,8.672,383.933,0.557,Binding Assay,BindingDB
CMPD_10439,TRG_2039,Kinase,7.227,521.612,0.913,SPR,ChEMBL
CMPD_10040,TRG_2040,Kinase,7.655,308.617,0.759,Functional Assay,BindingDB
CMPD_10840,TRG_2040,Kinase,7.281,359.062,0.773,Functional Assay,ChEMBL
CMPD_10640,TRG_2040,Kinase,7.019,393.064,0.391,SPR,InHouse
CMPD_10440,TRG_2040,Kinase,6.537,254.992,0.987,Binding Assay,Literature
CMPD_10642,TRG_2042,Kinase,8.284,320.804,0.889,Binding Assay,ChEMBL
CMPD_10842,TRG_2042,Kinase,7.513,423.538,0.749,Binding Assay,InHouse
CMPD_10042,TRG_2042,Kinase,6.553,533.912,0.35,SPR,Literature
CMPD_10944,TRG_2044,Kinase,9.585,275.165,0.952,Binding Assay,ChEMBL
CMPD_10644,TRG_2044,Kinase,8.706,266.415,0.776,Functional Assay,BindingDB
CMPD_10145,TRG_2045,Kinase,10.485,228.145,0.969,Binding Assay,Literature
CMPD_10945,TRG_2045,Kinase,7.58,436.879,0.954,SPR,ChEMBL
CMPD_10546,TRG_2046,Kinase,7.776,274.853,0.997,Binding Assay,ChEMBL
CMPD_10846,TRG_2046,Kinase,6.668,314.214,0.78,Functional Assay,BindingDB
CMPD_10347,TRG_2047,Kinase,7.941,289.658,0.32,SPR,InHouse
CMPD_10449,TRG_2049,Kinase,8.073,526.842,0.992,Functional Assay,Literature
CMPD_10850,TRG_2050,Kinase,8.248,388.779,0.898,Functional Assay,ChEMBL
CMPD_10750,TRG_2050,Kinase,7.005,361.271,0.676,Functional Assay,Literature
CMPD_10650,TRG_2050,Kinase,6.581,374.593,0.635,Functional Assay,InHouse
CMPD_10952,TRG_2052,Kinase,7.206,348.446,0.376,Functional Assay,Literature
CMPD_10852,TRG_2052,Kinase,7.035,298.516,0.94,SPR,ChEMBL
CMPD_10152,TRG_2052,Kinase,6.956,234.159,0.498,Binding Assay,ChEMBL
CMPD_10454,TRG_2054,Kinase,10.107,285.706,0.866,Binding Assay,BindingDB
CMPD_10254,TRG_2054,Kinase,7.532,311.345,0.49,Binding Assay,InHouse
CMPD_10354,TRG_2054,Kinase,7.48,330.467,0.139,Binding Assay,ChEMBL
CMPD_10854,TRG_2054,Kinase,6.589,323.218,0.203,HTS,BindingDB
CMPD_10155,TRG_2055,Kinase,8.17,309.836,0.747,Binding Assay,InHouse
CMPD_10655,TRG_2055,Kinase,7.045,372.606,0.752,Functional Assay,InHouse
CMPD_10056,TRG_2056,Kinase,8.996,474.04,0.475,Binding Assay,ChEMBL
CMPD_10456,TRG_2056,Kinase,6.878,484.216,0.798,Binding Assay,BindingDB
CMPD_10957,TRG_2057,Kinase,8.277,264.576,0.514,Functional Assay,InHouse
CMPD_10057,TRG_2057,Kinase,8.01,270.132,0.873,Binding Assay,BindingDB
CMPD_10557,TRG_2057,Kinase,7.221,325.802,0.304,Functional Assay,ChEMBL
CMPD_10158,TRG_2058,Kinase,10.848,369.504,0.352,HTS,InHouse
CMPD_10958,TRG_2058,Kinase,7.021,426.025,0.565,Binding Assay,Literature
CMPD_10960,TRG_2060,Kinase,7.316,341.644,0.985,Binding Assay,ChEMBL
CMPD_10561,TRG_2061,Kinase,6.867,350.244,0.162,Binding Assay,BindingDB
CMPD_10762,TRG_2062,Kinase,8.901,482.901,0.883,Functional Assay,InHouse
CMPD_10562,TRG_2062,Kinase,7.036,384.955,0.516,Binding Assay,BindingDB
CMPD_10962,TRG_2062,Kinase,6.651,355.604,0.747,Binding Assay,BindingDB
CMPD_10764,TRG_2064,Kinase,7.717,301.823,0.527,Binding Assay,BindingDB
CMPD_10664,TRG_2064,Kinase,7.188,381.975,0.988,Binding Assay,Literature
CMPD_10866,TRG_2066,Kinase,8.906,335.028,0.703,Binding Assay,ChEMBL
CMPD_10666,TRG_2066,Kinase,8.701,307.711,0.683,Functional Assay,BindingDB
CMPD_10068,TRG_2068,Kinase,7.472,298.981,0.287,Functional Assay,ChEMBL
CMPD_10668,TRG_2068,Kinase,7.138,449.063,0.764,Binding Assay,Literature
CMPD_10368,TRG_2068,Kinase,7.102,477.56,0.69,Functional Assay,BindingDB
CMPD_10468,TRG_2068,Kinase,6.725,368.703,0.55,Binding Assay,InHouse
CMPD_10369,TRG_2069,Kinase,7.904,282.243,0.99,SPR,ChEMBL
CMPD_10370,TRG_2070,Kinase,6.838,270.689,0.944,Binding Assay,Literature
CMPD_10470,TRG_2070,Kinase,6.644,376.47,0.643,Functional Assay,BindingDB
CMPD_10071,TRG_2071,Kinase,7.415,305.562,0.809,Functional Assay,BindingDB
CMPD_10171,TRG_2071,Kinase,6.971,378.164,0.93,Functional Assay,BindingDB
CMPD_10772,TRG_2072,Kinase,9.114,279.761,0.735,HTS,Literature
CMPD_10472,TRG_2072,Kinase,8.581,190.501,0.477,Binding Assay,BindingDB
CMPD_10072,TRG_2072,Kinase,7.763,299.009,0.918,Binding Assay,ChEMBL
CMPD_10372,TRG_2072,Kinase,7.578,298.883,0.904,Binding Assay,ChEMBL
CMPD_10874,TRG_2074,Kinase,7.311,377.079,0.411,Binding Assay,ChEMBL
CMPD_10374,TRG_2074,Kinase,6.52,481.361,0.54,Functional Assay,InHouse
CMPD_10875,TRG_2075,Kinase,8.759,326.368,0.683,Functional Assay,BindingDB
CMPD_10775,TRG_2075,Kinase,7.887,379.389,0.609,Binding Assay,Literature
CMPD_10175,TRG_2075,Kinase,6.838,439.384,0.316,Binding Assay,ChEMBL
CMPD_10776,TRG_2076,Kinase,8.198,423.087,0.704,Binding Assay,BindingDB
CMPD_10377,TRG_2077,Kinase,8.116,530.195,0.512,Functional Assay,ChEMBL
CMPD_10077,TRG_2077,Kinase,7.455,387.713,0.757,Binding Assay,InHouse
CMPD_10878,TRG_2078,Kinase,7.385,269.477,0.779,Binding Assay,BindingDB
CMPD_10079,TRG_2079,Kinase,7.076,400.635,0.237,SPR,InHouse
CMPD_10879,TRG_2079,Kinase,6.597,441.19,0.532,Binding Assay,Literature
CMPD_10380,TRG_2080,Kinase,6.978,150.048,0.853,Binding Assay,ChEMBL
CMPD_10682,TRG_2082,Kinase,6.885,333.278,0.463,Binding Assay,ChEMBL
CMPD_10083,TRG_2083,Kinase,8.29,493.67,0.972,Binding Assay,BindingDB
CMPD_10283,TRG_2083,Kinase,6.822,210.823,0.227,Binding Assay,ChEMBL
CMPD_10784,TRG_2084,Kinase,7.78,408.948,0.753,SPR,ChEMBL
CMPD_10885,TRG_2085,Kinase,7.647,348.171,0.782,Binding Assay,InHouse
CMPD_10586,TRG_2086,Kinase,9.14,347.816,0.502,Binding Assay,InHouse
CMPD_10486,TRG_2086,Kinase,6.676,341.102,0.834,SPR,ChEMBL
CMPD_10387,TRG_2087,Kinase,8.251,395.113,0.194,Binding Assay,Literature
CMPD_10887,TRG_2087,Kinase,6.568,309.618,0.95,Binding Assay,ChEMBL
CMPD_10588,TRG_2088,Kinase,8.047,314.537,0.224,HTS,ChEMBL
CMPD_10988,TRG_2088,Kinase,6.847,359.856,0.213,Functional Assay,InHouse
CMPD_10589,TRG_2089,Kinase,6.796,279.216,0.8,Binding Assay,Literature
CMPD_10889,TRG_2089,Kinase,6.726,393.739,0.798,Binding Assay,ChEMBL
CMPD_10189,TRG_2089,Kinase,6.56,235.538,0.892,Binding Assay,BindingDB
CMPD_10790,TRG_2090,Kinase,8.676,413.541,0.383,Binding Assay,Literature
CMPD_10190,TRG_2090,Kinase,7.194,360.248,0.618,SPR,InHouse
CMPD_10291,TRG_2091,Kinase,8.7,388.163,0.984,Binding Assay,BindingDB
CMPD_10592,TRG_2092,Kinase,7.592,240.248,0.818,Binding Assay,InHouse
CMPD_10493,TRG_2093,Kinase,7.263,324.687,0.442,Binding Assay,ChEMBL
CMPD_10694,TRG_2094,Kinase,7.213,287.208,0.553,HTS,ChEMBL
CMPD_10794,TRG_2094,Kinase,7.202,387.314,0.584,Binding Assay,ChEMBL
CMPD_10294,TRG_2094,Kinase,7.074,429.701,0.544,Functional Assay,ChEMBL
CMPD_10995,TRG_2095,Kinase,8.213,244.398,0.625,SPR,ChEMBL
CMPD_10895,TRG_2095,Kinase,7.5,324.214,0.767,Binding Assay,BindingDB
CMPD_10597,TRG_2097,Kinase,6.847,433.192,0.497,Functional Assay,BindingDB
CMPD_10997,TRG_2097,Kinase,6.835,347.037,0.58,HTS,Literature
CMPD_10297,TRG_2097,Kinase,6.635,315.751,0.433,SPR,InHouse
CMPD_10898,TRG_2098,Kinase,8.66,429.865,0.763,HTS,BindingDB
CMPD_10698,TRG_2098,Kinase,8.349,279.001,0.846,Binding Assay,BindingDB
CMPD_10598,TRG_2098,Kinase,8.071,301.551,0.691,Binding Assay,BindingDB
CMPD_10599,TRG_2099,Kinase,8.152,496.081,0.725,Binding Assay,ChEMBL
CMPD_10099,TRG_2099,Kinase,7.977,445.071,0.93,Binding Assay,BindingDB
CMPD_10800,TRG_2000,Transporter,7.177,366.046,0.478,Binding Assay,InHouse
CMPD_10304,TRG_2004,Transporter,7.878,380.555,0.472,Binding Assay,Literature
CMPD_10509,TRG_2009,Transporter,8.093,177.769,0.622,Functional Assay,ChEMBL
CMPD_10211,TRG_2011,Transporter,9.037,186.661,0.529,Functional Assay,ChEMBL
CMPD_10212,TRG_2012,Transporter,7.993,330.226,0.25,HTS,ChEMBL
CMPD_10315,TRG_2015,Transporter,7.445,343.543,0.748,SPR,BindingDB
CMPD_10918,TRG_2018,Transporter,6.9,391.113,0.372,Functional Assay,BindingDB
CMPD_10420,TRG_2020,Transporter,7.503,360.018,0.964,Binding Assay,BindingDB
CMPD_10321,TRG_2021,Transporter,7.461,118.3,0.611,Binding Assay,InHouse
CMPD_10923,TRG_2023,Transporter,7.101,438.776,0.324,HTS,Literature
CMPD_10325,TRG_2025,Transporter,7.636,266.808,0.879,Binding Assay,InHouse
CMPD_10627,TRG_2027,Transporter,6.662,470.107,0.41,Functional Assay,InHouse
CMPD_10828,TRG_2028,Transporter,9.37,375.846,0.82,Functional Assay,ChEMBL
CMPD_10230,TRG_2030,Transporter,6.666,455.392,0.952,Functional Assay,Literature
CMPD_10534,TRG_2034,Transporter,6.527,350.828,0.634,SPR,InHouse
CMPD_10438,TRG_2038,Transporter,7.631,283.172,0.441,SPR,ChEMBL
CMPD_10841,TRG_2041,Transporter,7.906,234.938,0.583,Binding Assay,InHouse
CMPD_10742,TRG_2042,Transporter,6.996,331.881,0.755,Functional Assay,ChEMBL
CMPD_10647,TRG_2047,Transporter,8.576,261.743,0.338,Binding Assay,Literature
CMPD_10547,TRG_2047,Transporter,7.517,338.473,0.875,Binding Assay,BindingDB
CMPD_10447,TRG_2047,Transporter,6.533,338.24,0.331,SPR,InHouse
CMPD_10450,TRG_2050,Transporter,8.128,305.401,0.858,Functional Assay,InHouse
CMPD_10352,TRG_2052,Transporter,6.524,479.097,0.894,Binding Assay,InHouse
CMPD_10755,TRG_2055,Transporter,6.975,222.424,0.432,Functional Assay,Literature
CMPD_10157,TRG_2057,Transporter,10.036,406.669,0.905,Binding Assay,Literature
CMPD_10257,TRG_2057,Transporter,9.417,232.85,0.2,Binding Assay,ChEMBL
CMPD_10558,TRG_2058,Transporter,6.98,318.946,0.304,HTS,InHouse
CMPD_10759,TRG_2059,Transporter,7.241,120.219,0.65,SPR,BindingDB
CMPD_10860,TRG_2060,Transporter,7.874,351.938,0.451,SPR,ChEMBL
CMPD_10966,TRG_2066,Transporter,6.761,428.016,0.72,Binding Assay,ChEMBL
CMPD_10267,TRG_2067,Transporter,8.451,223.889,0.401,HTS,ChEMBL
CMPD_10970,TRG_2070,Transporter,7.226,133.741,0.783,HTS,ChEMBL
CMPD_10571,TRG_2071,Transporter,7.087,205.842,0.962,Functional Assay,InHouse
CMPD_10972,TRG_2072,Transporter,6.986,297.674,0.388,HTS,Literature
CMPD_10774,TRG_2074,Transporter,8.289,331.882,0.758,Binding Assay,ChEMBL
CMPD_10276,TRG_2076,Transporter,7.453,347.956,0.581,Binding Assay,Literature
CMPD_10176,TRG_2076,Transporter,6.771,377.418,0.557,Binding Assay,InHouse
CMPD_10777,TRG_2077,Transporter,6.798,285.746,0.353,Binding Assay,Literature
CMPD_10778,TRG_2078,Transporter,7.169,469.415,0.694,Binding Assay,BindingDB
CMPD_10279,TRG_2079,Transporter,11.179,320.351,0.672,Functional Assay,InHouse
CMPD_10981,TRG_2081,Transporter,7.218,409.37,0.086,Binding Assay,ChEMBL
CMPD_10381,TRG_2081,Transporter,7.079,533.275,0.884,Functional Assay,InHouse
CMPD_10185,TRG_2085,Transporter,7.031,465.209,0.895,Functional Assay,InHouse
CMPD_10986,TRG_2086,Transporter,7.119,523.675,0.557,SPR,BindingDB
CMPD_10688,TRG_2088,Transporter,6.763,254.329,0.754,HTS,ChEMBL
CMPD_10092,TRG_2092,Transporter,7.247,239.654,0.863,Functional Assay,Literature
CMPD_10393,TRG_2093,Transporter,7.299,344.993,0.882,HTS,ChEMBL
CMPD_10596,TRG_2096,Transporter,7.358,296.474,0.757,Functional Assay,Literature
CMPD_10798,TRG_2098,Transporter,9.218,291.233,0.744,Functional Assay,BindingDB
CMPD_10199,TRG_2099,Transporter,6.862,410.833,0.236,Functional Assay,Literature
